Unique Junction ID,JCR ID,Latitude,Longitude,maid,male,female,high,medium,low,Peak/ Non-Peak,Weekday - Total Car,Weekday - Hatchback,Weekday - Sedan,Weekday -  SUV,City,Weekday - Sum,mean_maid,std_maid,mean_weekday_sum,std_weekday_sum
J5,JCR25,23.051084,72.517765,2520.0,2192.0,328.0,163.0,569.0,1789.0,0.0,2160.0,945.0,945.0,270.0,Ahmedabad,12645.0,1016.8,475.3535778765108,25030.5,3916.6389960015463
J5,JCR25,23.051084,72.517765,2520.0,2192.0,328.0,163.0,569.0,1789.0,1.0,4515.0,1680.0,2468.0,368.0,Ahmedabad,18267.0,1016.8,475.3535778765108,25030.5,2138.806495454883
J6,JCR26,23.038434,72.52890500000001,175.0,166.0,9.0,5.0,39.0,130.0,0.0,17010.0,8820.0,6795.0,1395.0,Ahmedabad,56610.0,1014.2,265.3783412413304,26798.0,9427.382160493973
J6,JCR26,23.038434,72.52890500000001,175.0,166.0,9.0,5.0,39.0,130.0,1.0,24884.0,12022.0,9974.0,2886.0,Ahmedabad,77380.0,1014.2,265.3783412413304,26798.0,15995.432860663697
J6,JCR27,23.038422,72.52747099999999,1094.0,1046.0,48.0,40.0,959.0,95.0,0.0,3645.0,2025.0,1575.0,45.0,Ahmedabad,12960.0,1014.2,25.234975728143652,26798.0,4375.959826141003
J6,JCR27,23.038422,72.52747099999999,1094.0,1046.0,48.0,40.0,959.0,95.0,1.0,4358.0,1890.0,2205.0,263.0,Ahmedabad,13756.0,1014.2,25.234975728143652,26798.0,4124.2425243916
J6,JCR28,23.037425,72.528469,291.0,258.0,33.0,170.0,80.0,41.0,0.0,3735.0,2340.0,1215.0,180.0,Ahmedabad,13185.0,1014.2,228.6959203833772,26798.0,4304.808578787214
J6,JCR28,23.037425,72.528469,291.0,258.0,33.0,170.0,80.0,41.0,1.0,5828.0,3465.0,1890.0,473.0,Ahmedabad,17904.0,1014.2,228.6959203833772,26798.0,2812.5297509537563
J6,JCR29,23.032823999999998,72.52463900000001,2238.0,1973.0,265.0,496.0,1412.0,330.0,0.0,5040.0,2655.0,1845.0,540.0,Ahmedabad,16425.0,1014.2,386.99954005140626,26798.0,3280.23061689266
J6,JCR29,23.032823999999998,72.52463900000001,2238.0,1973.0,265.0,496.0,1412.0,330.0,1.0,7455.0,3728.0,2783.0,945.0,Ahmedabad,23726.0,1014.2,386.99954005140626,26798.0,971.4516972037261
J6,JCR30,23.036645,72.527568,1273.0,1128.0,145.0,492.0,659.0,121.0,0.0,4590.0,1800.0,2160.0,630.0,Ahmedabad,14040.0,1014.2,81.83974584515764,26798.0,4034.433838842818
J6,JCR30,23.036645,72.527568,1273.0,1128.0,145.0,492.0,659.0,121.0,1.0,7245.0,2940.0,3098.0,1208.0,Ahmedabad,21994.0,1014.2,81.83974584515764,26798.0,1519.1581879448895
J7,JCR31,23.03801,72.587978,46.0,42.0,4.0,2.0,35.0,9.0,0.0,6930.0,2790.0,2295.0,1845.0,Ahmedabad,128070.0,626.8,183.66508650257944,58615.0,21963.599488699478
